#  N   Simpsons     Milne      GSL_QAG_31  
#-----------------------------------------
1569  6.876190e-11  9.470985e-15  7.067899e-16
1573  6.806967e-11  9.470985e-15  7.067899e-16
1577  6.737857e-11  8.905553e-15  7.067899e-16
1581  6.668605e-11  6.078393e-15  7.067899e-16
1585  6.601870e-11  1.272222e-15  7.067899e-16
1589  6.535206e-11  6.502467e-15  7.067899e-16
1593  6.470125e-11  1.979012e-15  7.067899e-16
1597  6.405821e-11  1.272222e-15  7.067899e-16
1601  6.341574e-11  8.481479e-15  7.067899e-16
1605  6.278274e-11  5.654319e-15  7.067899e-16
1609  6.216500e-11  9.895059e-16  7.067899e-16
1613  6.155137e-11  5.230245e-15  7.067899e-16
1617  6.094890e-11  4.664814e-15  7.067899e-16
1621  6.034728e-11  2.544444e-15  7.067899e-16
1625  5.975315e-11  2.827160e-16  7.067899e-16
1629  5.916666e-11  6.785183e-15  7.067899e-16
1633  5.859486e-11  2.261728e-15  7.067899e-16
1637  5.802152e-11  3.958024e-15  7.067899e-16
1641  5.745495e-11  4.947530e-15  7.067899e-16
1645  5.690620e-11  2.827160e-15  7.067899e-16
1649  5.635024e-11  6.219751e-15  7.067899e-16
1653  5.580078e-11  3.675308e-15  7.067899e-16
1657  5.527154e-11  4.240740e-15  7.067899e-16
1661  5.473678e-11  6.643825e-15  7.067899e-16
1665  5.421460e-11  6.643825e-15  7.067899e-16
1669  5.369865e-11  8.481479e-16  7.067899e-16
1673  5.318594e-11  3.392592e-15  7.067899e-16
1677  5.267804e-11  2.120370e-15  7.067899e-16
1681  5.217608e-11  4.240740e-15  7.067899e-16
1685  5.168105e-11  0.000000e+00  7.067899e-16
1689  5.119025e-11  7.209257e-15  7.067899e-16
1693  5.071246e-11  6.643825e-15  7.067899e-16
1697  5.023382e-11  4.240740e-16  7.067899e-16
1701  4.976381e-11  2.544444e-15  7.067899e-16
1705  4.929563e-11  1.130864e-15  7.067899e-16
1709  4.883876e-11  1.413580e-16  7.067899e-16
1713  4.838740e-11  2.544444e-15  7.067899e-16
