# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=20, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t))                TE 
10.9900  1.627567079538018e-12  -3.613912054163288e-12  6.530180167613359e-24    5.228866270940445e-23  5.000000000000000e-01
11.0000  1.591826229180864e-12  -3.534551706097985e-12  6.246527881540088e-24    5.001739326008735e-23  5.000000000000000e-01
11.0100  1.556870236419020e-12  -3.456934085788824e-12  5.975196636744306e-24    4.784478123752582e-23  5.000000000000000e-01
11.0200  1.522681866031758e-12  -3.381020923493974e-12  5.715651242552023e-24    4.576654124623019e-23  5.000000000000000e-01
11.0300  1.489244261278262e-12  -3.306774789862845e-12  5.467379755436231e-24    4.377857403599248e-23  5.000000000000000e-01
11.0400  1.456540935586331e-12  -3.234159077481365e-12  5.229892469227556e-24    4.187695841626975e-23  5.000000000000000e-01
11.0500  1.424555764423593e-12  -3.163137982822517e-12  5.002720949187252e-24    4.005794352178307e-23  5.000000000000000e-01
11.0600  1.393272977347231e-12  -3.093676488593241e-12  4.785417108037302e-24    3.831794141407698e-23  5.000000000000000e-01
11.0700  1.362677150228284e-12  -3.025740346468982e-12  4.577552322125119e-24    3.665352000444582e-23  5.000000000000000e-01
11.0800  1.332753197646713e-12  -2.959296060207400e-12  4.378716585979520e-24    3.506139628426779e-23  5.000000000000000e-01
11.0900  1.303486365453455e-12  -2.894310869132873e-12  4.188517703590343e-24    3.353842984939403e-23  5.000000000000000e-01
11.1000  1.274862223495824e-12  -2.830752731983696e-12  4.006580514816579e-24    3.208161670581953e-23  5.000000000000000e-01
11.1100  1.246866658502652e-12  -2.768590311113981e-12  3.832546155397105e-24    3.068808334441795e-23  5.000000000000000e-01
11.1200  1.219485867125674e-12  -2.707792957042480e-12  3.666071349104430e-24    2.935508107305297e-23  5.000000000000000e-01
11.1300  1.192706349133718e-12  -2.648330693340709e-12  3.506827730645240e-24    2.807998059488640e-23  5.000000000000000e-01
11.1400  1.166514900756355e-12  -2.590174201852925e-12  3.354501197972220e-24    2.686026682218915e-23  5.000000000000000e-01
11.1500  1.140898608173712e-12  -2.533294808240673e-12  3.208791292729574e-24    2.569353391542517e-23  5.000000000000000e-01
11.1600  1.115844841149254e-12  -2.477664467844758e-12  3.069410607610223e-24    2.457748053782362e-23  5.000000000000000e-01
11.1700  1.091341246802385e-12  -2.423255751857695e-12  2.936084219455701e-24    2.350990531607857e-23  5.000000000000000e-01
11.1800  1.067375743517798e-12  -2.370041833799802e-12  2.808549146980564e-24    2.248870249822292e-23  5.000000000000000e-01
11.1900  1.043936514988579e-12  -2.317996476292277e-12  2.686553832051707e-24    2.151185780011193e-23  5.000000000000000e-01
11.2000  1.021012004390117e-12  -2.267094018120729e-12  2.569857643499395e-24    2.057744443232349e-23  5.000000000000000e-01
11.2100  9.985909086819617e-13  -2.217309361582792e-12  2.458230402481345e-24    1.968361929963845e-23  5.000000000000000e-01
11.2200  9.766621730347974e-13  -2.168617960113587e-12  2.351451928463607e-24    1.882861936560464e-23  5.000000000000000e-01
11.2300  9.552149853798115e-13  -2.120995806182913e-12  2.249311604922752e-24    1.801075817501377e-23  5.000000000000000e-01
11.2400  9.342387710777490e-13  -2.074419419458224e-12  2.151607963912698e-24    1.722842252743199e-23  5.000000000000000e-01
11.2500  9.137231877050385e-13  -2.028865835227535e-12  2.058148288676762e-24    1.648006929522273e-23  5.000000000000000e-01
11.2600  8.936581199544070e-13  -1.984312593076562e-12  1.968748233521114e-24    1.576422237978543e-23  5.000000000000000e-01
11.2700  8.740336746474815e-13  -1.940737725814503e-12  1.883231460199824e-24    1.507946980000664e-23  5.000000000000000e-01
11.2800  8.548401758569085e-13  -1.898119748643013e-12  1.801429290094307e-24    1.442446090718033e-23  5.000000000000000e-01
11.2900  8.360681601355919e-13  -1.856437648563018e-12  1.723180371501093e-24    1.379790372090417e-23  5.000000000000000e-01
11.3000  8.177083718506940e-13  -1.815670874014154e-12  1.648330361371662e-24    1.319856238069674e-23  5.000000000000000e-01
11.3100  7.997517586201025e-13  -1.775799324741725e-12  1.576731620876584e-24    1.262525470830927e-23  5.000000000000000e-01
11.3200  7.821894668491080e-13  -1.736803341886171e-12  1.508242924193486e-24    1.207684987592344e-23  5.000000000000000e-01
11.3300  7.650128373650984e-13  -1.698663698290173e-12  1.442729179944424e-24    1.155226617563614e-23  5.000000000000000e-01
11.3400  7.482134011481108e-13  -1.661361589018614e-12  1.380061164733227e-24    1.105046888583125e-23  5.000000000000000e-01
11.3500  7.317828751551407e-13  -1.624878622086712e-12  1.320115268257206e-24    1.057046823023017e-23  5.000000000000000e-01
11.3600  7.157131582361479e-13  -1.589196809391764e-12  1.262773249490481e-24    1.011131742559541e-23  5.000000000000000e-01
11.3700  6.999963271397452e-13  -1.554298557844024e-12  1.207922003458006e-24    9.672110814236194e-24  5.000000000000000e-01
11.3800  6.846246326066018e-13  -1.520166660692349e-12  1.155453338140263e-24    9.251982077632782e-24  5.000000000000000e-01
11.3900  6.695904955486319e-13  -1.486784289040324e-12  1.105263761068570e-24    8.850102527655739e-24  5.000000000000000e-01
11.4000  6.548865033120912e-13  -1.454134983548693e-12  1.057254275190079e-24    8.465679472009812e-24  5.000000000000000e-01
11.4100  6.405054060227301e-13  -1.422202646320006e-12  1.011330183599815e-24    8.097954650678156e-24  5.000000000000000e-01
11.4200  6.264401130112099e-13  -1.390971532961472e-12  9.674009027545931e-25    7.746202740283009e-24  5.000000000000000e-01
11.4300  6.126836893170125e-13  -1.360426244822104e-12  9.253797838003861e-25    7.409729923412575e-24  5.000000000000000e-01
11.4400  5.992293522691261e-13  -1.330551721400352e-12  8.851839416607196e-25    7.087872520092315e-24  5.000000000000000e-01
11.4500  5.860704681418162e-13  -1.301333232918438e-12  8.467340915489763e-25    6.779995678701143e-24  5.000000000000000e-01
11.4600  5.732005488838342e-13  -1.272756373059776e-12  8.099543925821374e-25    6.485492123750480e-24  5.000000000000000e-01
11.4700  5.606132489194537e-13  -1.244807051865865e-12  7.747722981874926e-25    6.203780958056201e-24  5.000000000000000e-01
11.4800  5.483023620197532e-13  -1.217471488789167e-12  7.411184130072553e-25    5.934306516940804e-24  5.000000000000000e-01
11.4900  5.362618182426054e-13  -1.190736205898543e-12  7.089263560188288e-25    5.676537272205714e-24  5.000000000000000e-01
11.5000  5.244856809398624e-13  -1.164588021233893e-12  6.781326296007372e-25    5.429964783711918e-24  5.000000000000000e-01
11.5100  5.129681438302629e-13  -1.139014042306727e-12  6.486764942859551e-25    5.194102696500910e-24  5.000000000000000e-01
11.5200  5.017035281366174e-13  -1.114001659743461e-12  6.204998489555932e-25    4.968485781477829e-24  5.000000000000000e-01
11.5300  4.906862797858602e-13  -1.089538541068307e-12  5.935471162366273e-25    4.752669017764589e-24  5.000000000000000e-01
11.5400  4.799109666705857e-13  -1.065612624622683e-12  5.677651328776219e-25    4.546226714912900e-24  5.000000000000000e-01
11.5500  4.693722759707227e-13  -1.042212113618158e-12  5.431030448862138e-25    4.348751673245909e-24  5.000000000000000e-01
11.5600  4.590650115340222e-13  -1.019325470319982e-12  5.195122072215265e-25    4.159854380672127e-24  5.000000000000000e-01
11.5700  4.489840913140702e-13  -9.969414103583593e-13  4.969460878436573e-25    3.979162244387498e-24  5.000000000000000e-01
11.5800  4.391245448645599e-13  -9.750488971646282e-13  4.753601759309788e-25    3.806318855950106e-24  5.000000000000000e-01
11.5900  4.294815108885885e-13  -9.536371365296312e-13  4.547118940842173e-25    3.640983288277915e-24  5.000000000000000e-01
11.6000  4.200502348417723e-13  -9.326955712815771e-13  4.349605143441337e-25    3.482829423182940e-24  5.000000000000000e-01
11.6100  4.108260665879952e-13  -9.122138760807761e-13  4.160670778571568e-25    3.331545308115384e-24  5.000000000000000e-01
11.6200  4.018044581066369e-13  -8.921819523286829e-13  3.979943180305101e-25    3.186832540848968e-24  5.000000000000000e-01
11.6300  3.929809612501491e-13  -8.725899231887323e-13  3.807065870252589e-25    3.048405680893759e-24  5.000000000000000e-01
11.6400  3.843512255508753e-13  -8.534281287165183e-13  3.641697854422891e-25    2.915991686475551e-24  5.000000000000000e-01
11.6500  3.759109960760312e-13  -8.346871210969116e-13  3.483512950625252e-25    2.789329375971224e-24  5.000000000000000e-01
11.6600  3.676561113297902e-13  -8.163576599857688e-13  3.332199145087201e-25    2.668168912737828e-24  5.000000000000000e-01
11.6700  3.595825012014377e-13  -7.984307079539363e-13  3.187457977019119e-25    2.552271312319198e-24  5.000000000000000e-01
11.6800  3.516861849585829e-13  -7.808974260313020e-13  3.049003949911564e-25    2.441407971058101e-24  5.000000000000000e-01
11.6900  3.439632692844401e-13  -7.637491693486995e-13  2.916563968404142e-25    2.335360215184128e-24  5.000000000000000e-01
11.7000  3.364099463582095e-13  -7.469774828755124e-13  2.789876799615182e-25    2.233918869487896e-24  5.000000000000000e-01
11.7100  3.290224919776134e-13  -7.305740972508809e-13  2.668692557869698e-25    2.136883844730831e-24  5.000000000000000e-01
11.7200  3.217972637226602e-13  -7.145309247064544e-13  2.552772211809304e-25    2.044063742976662e-24  5.000000000000000e-01
11.7300  3.147306991597312e-13  -6.988400550786777e-13  2.441887112911847e-25    1.955275480066188e-24  5.000000000000000e-01
11.7400  3.078193140851059e-13  -6.834937519086469e-13  2.335818544490794e-25    1.870343924490672e-24  5.000000000000000e-01
11.7500  3.010597008070587e-13  -6.684844486276104e-13  2.234357290284801e-25    1.789101551951520e-24  5.000000000000000e-01
11.7600  2.944485264656799e-13  -6.538047448262372e-13  2.137303221786506e-25    1.711388114924903e-24  5.000000000000000e-01
11.7700  2.879825313895927e-13  -6.394474026058080e-13  2.044464903496572e-25    1.637050326579549e-24  5.000000000000000e-01
11.7800  2.816585274887572e-13  -6.254053430095348e-13  1.955659215324370e-25    1.565941558424230e-24  5.000000000000000e-01
11.7900  2.754733966825667e-13  -6.116716425322476e-13  1.870710991390488e-25    1.497921551088581e-24  5.000000000000000e-01
11.8000  2.694240893624634e-13  -5.982395297067257e-13  1.789452674518622e-25    1.432856137666767e-24  5.000000000000000e-01
11.8100  2.635076228883137e-13  -5.851023817649944e-13  1.711723985735346e-25    1.370616979078308e-24  5.000000000000000e-01
11.8200  2.577210801178038e-13  -5.722537213729367e-13  1.637371608125874e-25    1.311081310924072e-24  5.000000000000000e-01
11.8300  2.520616079681280e-13  -5.596872134366123e-13  1.566248884422200e-25    1.254131701338113e-24  5.000000000000000e-01
11.8400  2.465264160092627e-13  -5.473966619787096e-13  1.498215527727168e-25    1.199655819357734e-24  5.000000000000000e-01
11.8500  2.411127750881318e-13  -5.353760070835882e-13  1.433137344803832e-25    1.147546213354889e-24  5.000000000000000e-01
11.8600  2.358180159829838e-13  -5.236193219094099e-13  1.370885971384351e-25    1.097700099091888e-24  5.000000000000000e-01
11.8700  2.306395280873197e-13  -5.121208097658792e-13  1.311338618976299e-25    1.050019156983354e-24  5.000000000000000e-01
11.8800  2.255747581227211e-13  -5.008748012561578e-13  1.254377832666978e-25    1.004409338164540e-24  5.000000000000000e-01
11.8900  2.206212088799435e-13  -4.898757514815414e-13  1.199891259448024e-25    9.607806789834813e-25  5.000000000000000e-01
11.9000  2.157764379876552e-13  -4.791182373075203e-13  1.147771426603327e-25    9.190471235510755e-25  5.000000000000000e-01
11.9100  2.110380567082147e-13  -4.685969546898772e-13  1.097915529723134e-25    8.791263539990768e-25  5.000000000000000e-01
11.9200  2.064037287598921e-13  -4.583067160595019e-13  1.050225229926224e-25    8.409396281112005e-25  5.000000000000000e-01
11.9300  2.018711691649536e-13  -4.482424477646364e-13  1.004606459890164e-25    8.044116240070615e-25  5.000000000000000e-01
11.9400  1.974381431230431e-13  -4.383991875692853e-13  9.609692383070471e-26    7.694702915725988e-25  5.000000000000000e-01
11.9500  1.931024649093021e-13  -4.287720822065625e-13  9.192274923987559e-26    7.360467103439354e-25  5.000000000000000e-01
11.9600  1.888619967966883e-13  -4.193563849857634e-13  8.792988881416390e-26    7.040749535643563e-25  5.000000000000000e-01
11.9700  1.847146480019586e-13  -4.101474534519875e-13  8.411046678657512e-26    6.734919581462603e-25  5.000000000000000e-01
11.9800  1.806583736547984e-13  -4.011407470971523e-13  8.045694949083077e-26    6.442374002815926e-25  5.000000000000000e-01
11.9900  1.766911737895887e-13  -3.923318251212754e-13  7.696213050149549e-26    6.162535764554026e-25  5.000000000000000e-01
12.0000  1.728110923593129e-13  -3.837163442429149e-13  7.361911641957360e-26    5.894852896278295e-25  5.000000000000000e-01
